FEATURE ANALYSIS
=====================================================================================================================================================================================================================================================
Section 1 = Individual (duplicated)   |   Section 2 = Accumulated w/ descendants (duplicated)   ||   Section 3 = Deduplicated (each physical source line counted once)
=====================================================================================================================================================================================================================================================

                                                             --- Individual (dup) ---                  |                --- Accumulated (dup) ---                ||       -- Dedup Individual --         |       -- Dedup Accumulated --      
Feature                                           LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang  |     LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang ||     LOC    LLOC    LOC%   LLOC%  |     LOC    LLOC    LOC%   LLOC%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
---Discretionary_Access_Control                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Owner                                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Whitelisting                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Mandatory_Access_Control                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Lattice_based_Access_Control                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Location_based_Access_Control                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----IP_Filter                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Role_based_Access_Control                        0       0    0.00    0.00       0       0     0.00  |     103      93    0.10    0.13      15      15     1.63 ||       0       0    0.00    0.00  |     103      93    0.10    0.13
----User_Management                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----User_Status                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Role_Check                                     78      76    0.07    0.10      13      13     1.81  |      78      76    0.07    0.10      13      13     1.81 ||      78      76    0.07    0.10  |      78      76    0.07    0.10
----SuperGroup                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----SuperUser                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Role                                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Group_Management                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Role_Definition                                25      17    0.02    0.02       3       3     1.08  |      25      17    0.02    0.02       3       3     1.08 ||      25      17    0.02    0.02  |      25      17    0.02    0.02
---Rule_based_Access_Control                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Timed_Access_Control                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---State_based_Access_Control                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Application_Mode_based_Access_Control            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Cache                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Connection_Whitelisting                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Connection_Blacklisting                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_ACL_Whitelisting                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Key_Operation_Whitelisting                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Key_ACL_Blacklisting                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authorization_Management                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Policy_Management                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Decisions                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----ACL_Authorization                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----ACL_Management                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Roles                                            0       0    0.00    0.00       0       0     0.00  |       3       3    0.00    0.00       3       3     1.00 ||       0       0    0.00    0.00  |       3       3    0.00    0.00
----Role_Assignment                                 3       3    0.00    0.00       3       3     1.00  |       3       3    0.00    0.00       3       3     1.00 ||       3       3    0.00    0.00  |       3       3    0.00    0.00
---Authorization_Whitelisting                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---WebsocketAuthorization                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---User_Role                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Permission                                       0       0    0.00    0.00       0       0     0.00  |     873     759    0.82    1.03      22      22     1.48 ||       0       0    0.00    0.00  |     818     706    0.77    0.96
----Permission_Definition                         513     437    0.48    0.59       9       9     1.48  |     513     437    0.48    0.59       9       9     1.48 ||     513     437    0.48    0.59  |     513     437    0.48    0.59
----Permission_Decision                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Permission_Exception                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Permission_Assignment                          80      76    0.08    0.10       9       9     1.75  |      80      76    0.08    0.10       9       9     1.75 ||      80      76    0.08    0.10  |      80      76    0.08    0.10
----Permission_Invalidation                       232     201    0.22    0.27       9       9     1.31  |     232     201    0.22    0.27       9       9     1.31 ||     232     201    0.22    0.27  |     232     201    0.22    0.27
----Permission_Management                          48      45    0.05    0.06       4       4     1.85  |      48      45    0.05    0.06       4       4     1.85 ||      48      45    0.05    0.06  |      48      45    0.05    0.06
---Authorization_Scheme                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---User_Based_Request_Authorization                31      29    0.03    0.04       1       1     1.16  |      31      29    0.03    0.04       1       1     1.16 ||      31      29    0.03    0.04  |      31      29    0.03    0.04
---Security_Request_Filter                         81      63    0.08    0.09       1       1     1.10  |      81      63    0.08    0.09       1       1     1.10 ||      81      63    0.08    0.09  |      81      63    0.08    0.09
-Cryptography                                       0       0    0.00    0.00       0       0     0.00  |     327     270    0.31    0.37      12      12     1.73 ||       0       0    0.00    0.00  |     239     191    0.23    0.26
--Cryptography_Exception                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--SecretManager                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Delegation_Token_SecretManager                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
--Encryption                                        0       0    0.00    0.00       0       0     0.00  |     185     141    0.17    0.19       7       7     1.49 ||       0       0    0.00    0.00  |     185     141    0.17    0.19
---Crypto_Utils                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---EncryptionZone                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Server_Side_Encryption                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Decryption                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Secure_Comunication                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----TLS                                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----TLS_Expiration                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Management                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Authentication_Enable              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Signing                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Check                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Key                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Test_Mode                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Change                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Certificate_Configuration                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----SSL                                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----SSL_Exception                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Trusted_Channel                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----DNSSEC                                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Handshake_Secret                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---CipherSuite                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----CipherSuiteNegotiation                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Cipher_Configuration                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Stream_Ciphers                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Block_Ciphers                                    0       0    0.00    0.00       0       0     0.00  |      21      15    0.02    0.02       1       1     1.00 ||       0       0    0.00    0.00  |      21      15    0.02    0.02
----SM4_Encryption                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----AES_Encryption                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----CTR_Mode                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----AES                                             1       1    0.00    0.00       1       1     1.00  |      21      15    0.02    0.02       1       1     1.00 ||       1       1    0.00    0.00  |      21      15    0.02    0.02
-----AES_Decryption                                20      14    0.02    0.02       1       1     1.00  |      20      14    0.02    0.02       1       1     1.00 ||      20      14    0.02    0.02  |      20      14    0.02    0.02
---Symmetric_Key_Cryptography                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Asymmetric_Key_Cryptography                     88      75    0.08    0.10       2       2     2.03  |      88      75    0.08    0.10       2       2     2.03 ||      88      75    0.08    0.10  |      88      75    0.08    0.10
----KeyPair                                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Hybrid_Cryptosystems                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Encrypted_Key                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Encryption_Parameters                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Encryption_Error_Code                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Post_Quantum_Cryptography                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Elliptic_Curve_Cryptography                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Secure_Communication                            76      51    0.07    0.07       4       4     1.00  |      76      51    0.07    0.07       4       4     1.00 ||      76      51    0.07    0.07  |      76      51    0.07    0.07
--Cryptographic_Hashing                             0       0    0.00    0.00       0       0     0.00  |      36      32    0.03    0.04       5       5     1.81 ||       0       0    0.00    0.00  |      36      32    0.03    0.04
---Hashing                                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---HMACSHA1_Hashing                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---HMACSHA256_Hashing                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---HMACSHA512_Hashing                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---SHA256_Hashing                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----HMAC256_Hashing                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Hashing_Exception                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Hash_Verification                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---MD5_Hashing                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---MAC_Generation                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---SHA1_Hashing                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Hashing_Verification                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Salting                                         36      32    0.03    0.04       5       5     1.81  |      36      32    0.03    0.04       5       5     1.81 ||      36      32    0.03    0.04  |      36      32    0.03    0.04
--Key_Management                                    0       0    0.00    0.00       0       0     0.00  |      77      68    0.07    0.09       4       4     2.13 ||       0       0    0.00    0.00  |      68      59    0.06    0.08
---KeyManager                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Management_System                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Key_Management_System_Exceptions                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Invalid_Key_Exception                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Secret_Key                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Private_Key_Certificate                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Delegation_Token_Secret_Key                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Encryption_Key                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Renew_Key                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Reencryption                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Decrypt_Key                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---RSA_Public_Key                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Generation                                  21      19    0.02    0.03       1       1     2.48  |      43      41    0.04    0.06       3       3     2.12 ||      21      19    0.02    0.03  |      39      37    0.04    0.05
----Secret_Generation                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Generate_Encrypted_Key                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Key_Generation_Exception                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Key_Generator                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Idempotency_Key_Generation                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----PBKDF2_Key_Generation                           9       9    0.01    0.01       1       1     2.00  |       9       9    0.01    0.01       1       1     2.00 ||       9       9    0.01    0.01  |       9       9    0.01    0.01
----TOTP_Key_Generation                             9       9    0.01    0.01       1       1     1.00  |       9       9    0.01    0.01       1       1     1.00 ||       9       9    0.01    0.01  |       9       9    0.01    0.01
----X509_Key_Generation                             2       2    0.00    0.00       1       1     3.00  |       2       2    0.00    0.00       1       1     3.00 ||       2       2    0.00    0.00  |       2       2    0.00    0.00
----PKCS8_Key_Generation                            2       2    0.00    0.00       1       1     3.00  |       2       2    0.00    0.00       1       1     3.00 ||       2       2    0.00    0.00  |       2       2    0.00    0.00
---Key_Distribution                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Key_Transparency                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Group_Key_Management                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Expiration                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Storage                                     34      27    0.03    0.04       2       2     2.15  |      34      27    0.03    0.04       2       2     2.15 ||      34      27    0.03    0.04  |      34      27    0.03    0.04
----Keystore                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----KeyStore_Exception                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Keystore_Password                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----TrustStore                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Truststore_Password                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----ProxyCA                                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Secret_Store                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Revocation                                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Delete_Key                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Key_Cache_Invalidation                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Key_Management_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---KeysManager                                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Secret                                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----SecretString                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----SecretBytes                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Secret_Validation                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----SecretBytes_Validation                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Secure_Value_Recovery                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Secure_Value_Recovery_Exception                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Server_Secret_Parameters                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----API_Token                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Keys                                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----ACI_Key                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----PNI_Key                                        0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Private_Key                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------External_Service_Private_Key                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Client_Private_Key                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------API_Private_Key                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Certificate_Private_Key                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Public_Key                                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Client_Public_Key                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------API_Public_Key                                0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
